	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"find"	0	0	1	0	0	0
"francisco"	0	0	1	0	0	0
"geophys"	0	0	1	0	0	0
"meet"	0	0	1	0	0	0
"present"	0	0	1	0	0	0
"san"	0	0	1	0	0	0
"scienc"	0	0	1	0	0	0
"team"	0	0	1	0	0	0
"union"	0	0	1	0	0	0
"abrupt"	0	0	1	0	0	0
"b"	0	0	1	0	0	0
"breakup"	0	0	1	0	0	0
"clung"	0	0	1	0	0	0
"disintegr"	0	0	1	0	0	0
"eastern"	0	0	1	0	0	0
"edg"	0	0	1	0	0	0
"februari"	0	0	1	0	0	0
"januari"	0	0	1	0	0	0
"left"	0	0	1	0	0	0
"sea"	0	0	1	0	0	0
"seri"	0	0	1	0	0	0
"shelv"	0	0	1	0	0	0
"speed"	0	0	1	0	0	0
"stretch"	0	0	1	0	0	0
"surpris"	0	0	1	0	0	0
"weddel"	0	0	1	0	0	0
"averag"	0	0	1	0	0	0
"catastroph"	0	0	1	0	0	0
"centuri"	0	0	1	0	0	0
"degre"	0	0	1	0	0	0
"fahrenheit"	0	0	1	0	0	0
"increas"	0	0	1	0	0	0
"least"	0	0	1	0	0	0
"middl"	0	0	1	0	0	0
"rise"	0	0	1	0	0	0
"six"	0	0	1	0	0	0
"temperatur"	0	0	1	0	0	0
"crack"	0	0	1	0	0	0
"drain"	0	0	1	0	0	0
"iceberg"	0	0	1	0	0	0
"liquid"	0	0	1	0	0	0
"meltwat"	0	0	1	0	0	0
"pool"	0	0	1	0	0	0
"product"	0	0	1	0	0	0
"rapid"	0	0	1	0	0	0
"result"	0	0	1	0	0	0
"surfac"	0	0	1	0	0	0
"top"	0	0	1	0	0	0
"warmer"	0	0	1	0	0	0
"water"	0	0	1	0	0	0
"wedg"	0	0	1	0	0	0
"blow"	0	0	1	0	0	0
"demis"	0	0	1	0	0	0
"drastic"	0	0	1	0	0	0
"earlier"	0	0	1	0	0	0
"even"	0	0	1	0	0	0
"may"	0	0	1	0	0	0
"opportun"	0	0	1	0	0	0
"structur"	0	0	1	0	0	0
"mile"	0	0	1	0	0	0
"miss"	0	0	1	0	0	0
"squar"	0	0	1	0	0	0
